No,Code,X,Y,SiteName,FeatureName,Context,SiteType,SampleID,Lab,LabID,Material,BP,Error,灌13C,References,ETC
1,PNTS-1,210309,548074,Pungnaptoseong Hyundai,Dwelling Ga-2,-,Dwelling,-,Seoul National University,-,Charcoal,2190,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
2,PNTS-2,210294,548055,Pungnaptoseong Hyundai,Dwelling Ga-3,-,Dwelling,-,Seoul National University,-,Charcoal,1980,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
3,PNTS-3,210293,548043,Pungnaptoseong Hyundai,Dwelling Ga-4,-,Dwelling,-,Seoul National University,-,Charcoal,1850,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
4,PNTS-4,210228,547933,Pungnaptoseong Hyundai,Dwelling Na-1,-,Dwelling,-,Seoul National University,-,Charcoal,2030,60,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
5,PNTS-5,210249,547944,Pungnaptoseong Hyundai,Dwelling Na-3,-,Dwelling,-,Seoul National University,-,Charcoal,2150,50,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
6,PNTS-6,210247,547929,Pungnaptoseong Hyundai,Dwelling Na-8,-,Dwelling,-,Seoul National University,-,Charcoal,2080,60,-,"National Research Institute of Cultural Heritage, 2001, Pungnaptoseong ",-
7,PNTS-7,210270,547883,Pungnaptoseong East Rampart(1st),Inner Rampart of Point B,Upper Section of Rampart No. 3,Rampart,-,Seoul National University,-,Charcoal,1820,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
8,PNTS-8,210381,547988,Pungnaptoseong East Rampart(1st),Inner Rampart of Point A,Muddy Layer of Rampart No. 5,Rampart,-,Seoul National University,-,Charcoal,2050,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
9,PNTS-9,210262,547890,Pungnaptoseong East Rampart(1st),Inner Rampart of Point B,Lower Muddy Layer of Rampart No. 6 Stone Structure,Rampart,-,Seoul National University,-,Charcoal,1930,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",-
10,PNTS-10,-,-,Pungnaptoseong East Rampart(1st),Northern Trench,Foundation Stone at the Base of Building,Building,-,Seoul National University,-,Charcoal,2050,50,-,"National Research Institute of Cultural Heritage, 2002, Pungnaptoseong ",Inaccurate location
11,PNTS-11,210356,548562,Pungnaptoseong Gyeongdang,Western Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-120,Charcoal,1520,40,-26,"Hanshin University Museum, 2004, Pungnaptoseong ",-
12,PNTS-12,210356,548562,Pungnaptoseong Gyeongdang,Eastern Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-121,Charcoal,1680,40,-27,"Hanshin University Museum, 2004, Pungnaptoseong ",-
13,PNTS-13,210356,548562,Pungnaptoseong Gyeongdang,Entrance of No. 44,-,Ditch,-,Seoul National University,SNU 00-226,Charcoal,1780,40,-24.5,"Hanshin University Museum, 2004, Pungnaptoseong ",-
14,PNTS-14,210356,548562,Pungnaptoseong Gyeongdang,Western Ditch of No. 44,-,Ditch,-,Seoul National University,SNU 00-227,Charcoal,1900,60,-24,"Hanshin University Museum, 2004, Pungnaptoseong ",-
15,PNTS-15,210322,547836,Pungnaptoseong KEB dormitory,Wood fragment No. 21 of Wooden Well,-,Well,-,Seoul National University,SNU 04-809,Wood,1650,40,-29.11,"National Research Institute of Cultural Heritage, 2007, Pungnaptoseong ",-
16,PNTS-16,210322,547836,Pungnaptoseong KEB dormitory,Wood fragment No. 27 of Wooden Well,-,Well,-,Seoul National University,SNU 04-808,Wood,1660,40,-31.17,"National Research Institute of Cultural Heritage, 2007, Pungnaptoseong ",-
17,PNTS-17,210030,548490,Pungnaptoseong Mirae,Dwelling Ga-1,-,Dwelling,-,Seoul National University,SNU 07-160,Charcoal,1700,50,-29.43,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
18,PNTS-18,210049,548496,Pungnaptoseong Mirae,Dwelling Ga-2,,Dwelling,-,Seoul National University,SNU 07-163,Charcoal,1990,60,-49.08,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
19,PNTS-19,210049,548496,Pungnaptoseong Mirae,Dwelling Ga-2,,Dwelling,-,Seoul National University,SNU 07-164,Charcoal,1470,50,-13.85,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
20,PNTS-20,210034,548491,Pungnaptoseong Mirae,Dwelling Ga-3,,Dwelling,-,Seoul National University,SNU 07-161,Charcoal,1710,50,-26.99,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
21,PNTS-21,210034,548491,Pungnaptoseong Mirae,Dwelling Ga-3,,Dwelling,-,Seoul National University,SNU 07-162,Charcoal,1650,60,-27.28,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
22,PNTS-22,210025,548459,Pungnaptoseong Mirae,Dwelling Ga-6,,Dwelling,-,Seoul National University,SNU 07-167,Charcoal,2070,80,-59.7,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
23,PNTS-23,210025,548459,Pungnaptoseong Mirae,Dwelling Ga-6,,Dwelling,-,Seoul National University,SNU 07-168,Charcoal,1690,50,-26.21,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
24,PNTS-24,210021,548459,Pungnaptoseong Mirae,Pit Ga-1,Layer No. 3 of s63.5w9,Pit,-,Seoul National University,SNU 07-158,Charcoal,1860,50,-20.78,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
25,PNTS-25,210020,548456,Pungnaptoseong Mirae,Pit Ga-1,Lower Layer Ditch of Points A and B,Ditch,-,Seoul National University,SNU 07-159,Charcoal,1670,50,-27.55,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
26,PNTS-26,210053,548453,Pungnaptoseong Mirae,Pit Building Site Ga-30,-,Building,-,Seoul National University,SNU 08-295,Charcoal,1660,50,-27.19,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
27,PNTS-27,210034,548510,Pungnaptoseong Mirae,Pit Ga-48,-,Pit,-,Seoul National University,SNU 07-166,Charcoal,1790,50,-25.89,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
28,PNTS-28,210029,548458,Pungnaptoseong Mirae,Pit Ga-59,-,Pit,-,Seoul National University,SNU  07-165,Charcoal,1640,50,-10.08,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
29,PNTS-29,210045,548457,Pungnaptoseong Mirae,Pit Ga-79,Charcoal Layer,Pit,-,Seoul National University,SNU 08-292,Charcoal,1710,60,-49.46,"National Research Institute of Cultural Heritage, 2009, Pungnaptoseong ?",-
30,PNTS-30,210103,548518,Pungnaptoseong Mirae,Dwelling Na-3,-,Dwelling,-,Seoul National University,SNU 08-297,Charcoal,1700,50,-28.05,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
31,PNTS-31,210043,548528,Pungnaptoseong Mirae,Dwelling Na-6,-,Dwelling,-,Seoul National University,SNU 08-294,Charcoal,1610,50,-32.88,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
32,PNTS-32,210043,548528,Pungnaptoseong Mirae,Dwelling Na-6,Interior of clay stove,Dwelling,-,Seoul National University,SNU 10-521,Charcoal,1670,40,-19.72,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
33,PNTS-33,210113,548530,Pungnaptoseong Mirae,Dwelling Na-7,-,Dwelling,-,Seoul National University,SNU 08-296,Charcoal,1750,50,-29.1,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
34,PNTS-34,210113,548530,Pungnaptoseong Mirae,Dwelling Na-7,-,Dwelling,-,Seoul National University,SNU 10-520,Charcoal,2940,50,-23.95,Unreported,-
35,PNTS-35,210050,548540,Pungnaptoseong Mirae,Dwelling Na-8,-,Dwelling,-,Seoul National University,SNU 08-302,Charcoal,1960,50,-27.06,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
36,PNTS-36,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,-,Dwelling,-,Seoul National University,SNU 10-522,Charcoal,1960,40,-18.86,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
37,PNTS-37,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Lower Section of Iron Sickle,Dwelling,-,Seoul National University,SNU 10-525,Charcoal,1750,40,-26.61,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
38,PNTS-38,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Horizontal Timber,Dwelling,-,Seoul National University,SNU 10-526,Charcoal,1780,60,-21.45,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
39,PNTS-39,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,Wooden Pile at the Eastern Corner,Dwelling,-,Seoul National University,SNU 10-527,Charcoal,1720,40,-40.4,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
40,PNTS-40,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,2월 1일,Dwelling,-,Seoul National University,SNU 11-R086,Charcoal,1940,40,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
41,PNTS-41,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,2월 2일,Dwelling,-,Seoul National University,SNU 11-R087,Charcoal,1760,40,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
42,PNTS-42,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,6월 1일,Dwelling,-,Seoul National University,SNU 11-R088,Charcoal,1810,50,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
43,PNTS-43,210059,548550,Pungnaptoseong Mirae,Dwelling Na-10,1월 14일,Dwelling,-,Seoul National University,SNU 11-R089,Charcoal,5840,70,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
44,PNTS-44,210058,548538,Pungnaptoseong Mirae,Dwelling Na-12,-,Dwelling,-,Seoul National University,SNU 08-298,Charcoal,1700,50,-34.01,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
45,PNTS-45,210091,548525,Pungnaptoseong Mirae,Dwelling Na-18,clay stove,Dwelling,-,Seoul National University,SNU 10-528,Charcoal,1690,40,-11.11,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
46,PNTS-46,210115,548526,Pungnaptoseong Mirae,Pit Na-19-1,-,Pit,-,Seoul National University,SNU 08-293,Charcoal,1920,50,-30.6,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
47,PNTS-47,210049,548533,Pungnaptoseong Mirae,Pit Na-36-1,-,Pit,-,Seoul National University,SNU 08-301,Charcoal,1930,50,-1,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
48,PNTS-48,210045,548531,Pungnaptoseong Mirae,Pit Na-39,,Pit,-,Seoul National University,SNU 08-300,Charcoal,1790,50,-16.89,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
49,PNTS-49,210045,548531,Pungnaptoseong Mirae,Pit Na-39,Floor Surface within the Pit,Pit,-,Seoul National University,SNU 10-524,Charcoal,2660,40,-20.54,Unreported,-
50,PNTS-50,210056,548536,Pungnaptoseong Mirae,Pit Na-47,-,Pit,-,Seoul National University,SNU 08-299,Charcoal,1690,50,-21.99,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
51,PNTS-51,210124,548502,Pungnaptoseong Mirae,Dwelling Da-3,Burned Earth Layer within the West Wall Body,Dwelling,-,Seoul National University,SNU 10-531,Charcoal,1850,50,-23.17,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
52,PNTS-52,210124,548502,Pungnaptoseong Mirae,Dwelling Da-3,Eastern wall,Dwelling,-,Seoul National University,SNU 10-532,Charcoal,1790,40,-25.75,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
53,PNTS-53,210132,548491,Pungnaptoseong Mirae,Dwelling Da-5,Charcoal Layer on the Floor,Dwelling,-,Seoul National University,SNU 10-529,Charcoal,1820,50,-26.61,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
54,PNTS-54,210141,548493,Pungnaptoseong Mirae,Dwelling Ra-1,clay stove,Dwelling,-,Seoul National University,SNU 10-534,Charcoal,1880,50,-19.72,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
55,PNTS-55,210128,548486,Pungnaptoseong Mirae,Dwelling Ra-2,Interior of clay stove,Dwelling,-,Seoul National University,SNU 10-533,Charcoal,1900,50,-19.72,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
56,PNTS-56,-,-,Pungnaptoseong Mirae,N40E30 Large Pottery Jar,Interior Large Pottery Jar,-,-,Seoul National University,SNU 10-530,Charcoal,1760,40,-19.72,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",Inaccurate location
57,PNTS-57,210144,548505,Pungnaptoseong Mirae,Dwelling Ra-3,,Dwelling,-,Seoul National University,SNU 10-R166,Charcoal,1770,50,-15.36,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
58,PNTS-58,210151,548483,Pungnaptoseong Mirae,Dwelling Ra-7,,Dwelling,-,Seoul National University,SNU 10-R167,Charcoal,1850,50,-23.28,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
59,PNTS-59,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-1,Dwelling,-,Seoul National University,SNU 10-R168,Charcoal,1790,50,-21.3,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
60,PNTS-60,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-2,Dwelling,-,Seoul National University,SNU 10-R169,Charcoal,1820,50,-22.4,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
61,PNTS-61,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-3,Dwelling,-,Seoul National University,SNU 10-R170,Charcoal,1760,50,-19.76,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
62,PNTS-62,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-4,Dwelling,-,Seoul National University,SNU 10-R171,Charcoal,1870,50,-21.52,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
63,PNTS-63,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-5,Dwelling,-,Seoul National University,SNU 10-R172,Charcoal,1790,50,-21.52,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
64,PNTS-64,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-6,Dwelling,-,Seoul National University,SNU 10-R173,Charcoal,1820,50,-19.62,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
65,PNTS-65,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-1,Dwelling,-,Seoul National University,SNU 10-R174,Charcoal,2180,50,-22.93,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
66,PNTS-66,210161,548471,Pungnaptoseong Mirae,Dwelling Ra-8,-2,Dwelling,-,Seoul National University,SNU 10-R175,Charcoal,1970,50,-22.4,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
67,PNTS-67,210178,548459,Pungnaptoseong Mirae,Dwelling Na-19,Internal West Wall(No. 1),Dwelling,-,Seoul National University,SNU 11-R090,Charcoal,2000,40,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
68,PNTS-68,210178,548459,Pungnaptoseong Mirae,Dwelling Na-19,Internal West Wall(No. 2-1),Dwelling,-,Seoul National University,SNU 11-R091,Charcoal,2070,40,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
69,PNTS-69,210178,548459,Pungnaptoseong Mirae,Dwelling Ra-19,Internal West Wall(No. 2-2),Dwelling,-,Seoul National University,SNU 11-R092,Charcoal,2030,50,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
70,PNTS-70,210178,548459,Pungnaptoseong Mirae,Dwelling Ra-19,West Wall(No. 3-1),Dwelling,-,Seoul National University,SNU 11-R093,Charcoal,2030,40,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
71,PNTS-71,210178,548459,Pungnaptoseong Mirae,Dwelling Ra-19,West Wall(No. 4),Dwelling,-,Seoul National University,SNU 11-R094,Charcoal,1890,40,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
72,PNTS-72,210178,548459,Pungnaptoseong Mirae,Dwelling Ra-19,Floor Surface within Grid No. 62(No. 7),Dwelling,-,Seoul National University,SNU 11-R095,Charcoal,2010,40,-,"National Research Institute of Cultural Heritage, 2013, Pungnaptoseong ⒱_",-
73,PNTS-73,210126,548446,Pungnaptoseong Mirae,Dwelling Ma-1,Inner clay stove(No. 1),Dwelling,-,Seoul National University,SNU 11-R096,Charcoal,1800,40,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
74,PNTS-74,210126,548446,Pungnaptoseong Mirae,Dwelling Ma-1,Left Side of Clay Stove(No. 2),Dwelling,-,Seoul National University,SNU 11-R097,Charcoal,1840,40,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
75,PNTS-75,210126,548446,Pungnaptoseong Mirae,Dwelling Ma-1,Southwest Side of the Dwelling(No. 3),Dwelling,-,Seoul National University,SNU 11-R098,Charcoal,1840,40,-,"National Research Institute of Cultural Heritage, 2012, Pungnaptoseong ⒱_",-
76,PNTS-76,-,-,Pungnaptoseong Gyeongdang,"Gyeongdang Area 1, No. 229-6",-,-,-,KIGAM,KR 08-293,Charcoal,1780,40,-26,"Hanshin University Museum, 2011, Pungnaptoseong ?",Inaccurate location
77,PNTS-77,210336,548493,Pungnaptoseong Gyeongdang,"Gyeongdang Area 1, No. 206",Backfill Layer 2,-,-,KIGAM,KR 08-294,Charcoal,1840,50,-25.6,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
78,PNTS-78,210333,548498,Pungnaptoseong Gyeongdang,Gyeongdang Area 1,Layer 6-1 of the Master Stratigraphy,-,-,KIGAM,KR 08-296,Charcoal,1670,50,-24.6,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
79,PNTS-79,210333,548498,Pungnaptoseong Gyeongdang,Gyeongdang Area 1,Layer 6-2 of the Master Stratigraphy,-,-,KIGAM,KR 08-297,Charcoal,1550,40,-26.1,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
80,PNTS-80,210335,548493,Pungnaptoseong Gyeongdang,"Gyeongdang Area 1, No. 206",Backfill Layer 1,-,-,KIGAM,KR 08-298,Charcoal,1760,40,-26.9,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
81,PNTS-81,210342,548543,Pungnaptoseong Gyeongdang,"Gyeongdang Area 2, No. 101",Layer 2 of the Pit within North-South Baulk D,Pit,-,KIGAM,KR 08-299,Charcoal,1790,40,-27.1,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
82,PNTS-82,210342,548543,Pungnaptoseong Gyeongdang,"Gyeongdang Area 2, No. 101",Layer 5 of the North-South Baulk,Pit,-,KIGAM,KR 08-300,Charcoal,1710,40,-24.7,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
83,PNTS-83,210342,548543,Pungnaptoseong Gyeongdang,"Gyeongdang Area 2, No. 101",Layer 13 of the East-West Baulk,Pit,-,KIGAM,KR 08-301,Charcoal,1660,40,-28.7,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
84,PNTS-84,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Upper Part of the South Baulk,Building,-,KIGAM,KR 08-303,Charcoal,1840,40,-25.9,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
85,PNTS-85,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Lower Part of the South Baulk,Building,-,KIGAM,KR 08-304,Charcoal,1760,40,-25.8,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
86,PNTS-86,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Lower Part of the East Baulk,Building,-,KIGAM,KR 08-305,Charcoal,1750,40,-25.5,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
87,PNTS-87,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Lower Part of the West Baulk,Building,-,KIGAM,KR 08-306,Charcoal,1740,40,-26.7,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
88,PNTS-88,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Sample collected during the removal of the upper wall structure,Building,-,KIGAM,KR 08-307,Charcoal,1730,40,-23,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
89,PNTS-89,210356,548559,Pungnaptoseong Gyeongdang,"Gyeongdang Area 3, No. 44",Stone Concentration of the Gateway,Building,-,KIGAM,KR 08-308,Charcoal,1840,40,-26.2,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
90,PNTS-90,210320,548512,Pungnaptoseong Gyeongdang,"Gyeongdang Area 4, No. 196",Pillar,Building,-,KIGAM,KR 08-309,Charcoal,1810,40,-26.4,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
91,PNTS-91,210320,548512,Pungnaptoseong Gyeongdang,"Gyeongdang Area 4, No. 196",Structural Wood of the Wall,Building,-,KIGAM,KR 08-310,Charcoal,1730,40,-26.8,"Hanshin University Museum, 2011, Pungnaptoseong ?",-
92,PNTS-92,210050,547660,Pungnaptoseong East Rampart(2nd),East Rampart,Foundation Work of the Initial Construction,Rampart,PN2011-01,Beta Analytic,BETA-306898,Wood,1770,30,-27.7,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
93,PNTS-93,210050,547660,Pungnaptoseong East Rampart(2nd),East Rampart,Foundation Work of the Initial Construction,Rampart,PN2011-01,University of Glasgow,SUERC-36921,Wood,1790,30,-27.6,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
94,PNTS-94,210047,547661,Pungnaptoseong East Rampart(2nd),East Rampart,Foundation Work of the Initial Construction,Rampart,PN2011-06,Beta Analytic,BETA-306903,Wood,1730,30,-27.8,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
95,PNTS-95,210047,547661,Pungnaptoseong East Rampart(2nd),East Rampart,Foundation Work of the Initial Construction,Rampart,PN2011-06,University of Glasgow,SUERC-36922,Wood,1855,30,-27.8,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_","Accurate coordinates reported, LabID reported as duplicate"
96,PNTS-96,210046,547662,Pungnaptoseong East Rampart(2nd),East Rampart,Foundation Work of the Initial Construction,Rampart,PN2011-06-re,University of Glasgow,SUERC-39134,Wood,1730,25,-28.8,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
97,PNTS-97,210051,547653,Pungnaptoseong East Rampart(2nd),East Rampart,Earthen Fill Work of the Initial Construction,Rampart,PN2011-02(new),Beta Analytic,BETA-307342,Charcoal,1660,30,-24.9,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
98,PNTS-98,210047,547657,Pungnaptoseong East Rampart(2nd),East Rampart,Earthen Fill Work of the Initial Construction,Rampart,PN2011-03,Beta Analytic,BETA-306900,Charcoal,1630,30,-26.5,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
99,PNTS-99,210047,547657,Pungnaptoseong East Rampart(2nd),East Rampart,Earthen Fill Work of the Initial Construction,Rampart,PN2011-03,University of Glasgow,SUERC-37213,Charcoal,1710,40,-27.5,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_","Accurate coordinates reported, LabID reported as duplicate"
100,PNTS-100,210045,547661,Pungnaptoseong East Rampart(2nd),East Rampart,1st Expansion Section,Rampart,PN2011-4,Beta Analytic,BETA-306901,Charcoal,1640,30,-26.7,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
101,PNTS-101,210045,547661,Pungnaptoseong East Rampart(2nd),East Rampart,1st Expansion Section,Rampart,PN2011-4,University of Glasgow,SUERC-36922,Charcoal,1740,35,-26.8,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_","Accurate coordinates reported, LabID reported as duplicate"
102,PNTS-102,210047,547664,Pungnaptoseong East Rampart(2nd),East Rampart,1st Expansion Section,Rampart,PN2011-04-re,University of Glasgow,SUERC-37213,Wood,1895,30,-26.4,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_","Accurate coordinates reported, LabID reported as duplicate"
103,PNTS-103,210054,547651,Pungnaptoseong East Rampart(2nd),East Rampart,Repair Section,Rampart,PN2011-05,Beta Analytic,BETA-306902,Charcoal,1650,30,-26.4,"National Research Institute of Cultural Heritage, 2014, Pungnaptoseong ⒱_",Accurate coordinates reported
